uuid,region,settlement,brand,krs_name_s,n_city,d_1,d_road,d_city,popul_dens
1c7741df-cc64-4ab3-af29-11cb0c370f2c,['Sachsen'],Stadtkreis,ARAL,['Dresden'],Dresden,"5","2711","4989","1726"
991cde6b-d63c-4d4b-ba37-2893be4cf952,['Sachsen'],Stadtkreis,ARAL,['Dresden'],Dresden,"21","2259","4898","1726"
4e17f9cf-7871-4630-d878-d756cffdbe08,['Sachsen'],Landkreis,GULF,['Landkreis Vogtlandkreis'],Chemnitz,"1223","734","54909","163"
8506be4d-1262-446d-bc7a-c21a387e4a36,['Sachsen'],Landkreis,Access,['Mittelsachsen'],Chemnitz,"1190","7250","16707","146"
98936a3d-ae75-4add-a173-6b6938f198f3,['Sachsen'],Landkreis,EPT,['Meißen'],Dresden,"828","19668","42143","167"
b2e37e9b-4d34-4ffa-81bf-edef2c7b4048,['Sachsen'],Stadtkreis,ARAL,['Dresden'],Dresden,"2386","5695","3952","1726"
005056ba-7cb6-1ed2-bceb-bd0355d2cd4e,['Sachsen'],Landkreis,STAR,['Landkreis Erzgebirgskreis'],Chemnitz,"851","9492","32476","186"
805fcd03-38d3-4b94-856f-289f227a7f48,['Sachsen'],Stadtkreis,Access,['Dresden'],Dresden,"0","3376","7005","1726"
8544a6aa-1333-4b0f-ae92-3f973633cbc6,['Sachsen'],Landkreis,EPT,['Meißen'],Dresden,"4530","15826","31327","167"
1f813d4f-79fd-4fdd-8924-dce0c427acc0,['Sachsen'],Landkreis,ARAL,['Görlitz'],Dresden,"1418","34525","76594","122"
9de396c1-f584-43be-88d4-5e3dbbc26b3e,['Sachsen'],Landkreis,M1,['Nordsachsen'],Leipzig,"865","682","10152","98"
e2280916-d176-45bc-a239-6669b1cd10e9,['Sachsen'],Landkreis,ARAL,['Landkreis Erzgebirgskreis'],Chemnitz,"947","200","15550","186"
f193221d-3d5f-4a52-a929-597780f8e043,['Sachsen'],Landkreis,Shell,['Landkreis Vogtlandkreis'],Chemnitz,"16","71","65905","163"
005056ba-7cb6-1ed2-bceb-bff19c2ccd50,['Sachsen'],Landkreis,STAR,['Bautzen'],Dresden,"1593","26937","56821","126"
005056ba-7cb6-1ed2-bceb-c58a064f4d53,['Sachsen'],Landkreis,STAR,['Landkreis Erzgebirgskreis'],Chemnitz,"1757","9178","33190","186"
bdfefb2e-1d30-4613-861d-23aa5c0d0400,['Sachsen'],Landkreis,AVIA,['Görlitz'],Dresden,"0","21178","82918","122"
86df5466-ac61-4295-b19d-75f9305f1583,['Sachsen'],Stadtkreis,Globus SB Warenhaus,['Leipzig'],Leipzig,"970","287","6959","2087"
86f037d7-d8f8-4fad-9aac-f256857725f6,['Sachsen'],Landkreis,Sprint,['Bautzen'],Dresden,"3169","5458","50049","126"
f8a61bff-59cf-4a5d-b4fd-9454237fc52b,['Sachsen'],Landkreis,ARAL,['Mittelsachsen'],Chemnitz,"70","1682","35917","146"
51d4b473-a095-1aa0-e100-80009459e03a,['Sachsen'],Landkreis,JET,['Bautzen'],Dresden,"17","28298","58400","126"
